name,release,value
uhabit,1.0.0,42.966
uhabit,1.0.0,43.112304
uhabit,1.0.0,42.9561
uhabit,1.1.1,43.112304
uhabit,1.1.1,42.9561
uhabit,1.1.1,42.790032
uhabit,1.2.0,43.258536
uhabit,1.2.0,42.966
uhabit,1.2.0,42.65352
uhabit,1.3.0,42.799896
uhabit,1.3.0,43.102368
uhabit,1.3.0,42.487488
uhabit,1.4.0,42.9462
uhabit,1.4.0,42.966
uhabit,1.4.0,42.790032
uhabit,1.5.0,42.477696
uhabit,1.5.0,42.1848
uhabit,1.5.0,42.331284
uhabit,1.6.0,42.16536
uhabit,1.6.0,41.853024
uhabit,1.6.0,41.687244
uhabit,1.7.0,41.228352
uhabit,1.7.0,42.467904
uhabit,1.7.0,41.843376
uhabit,1.8.9,42.009192
uhabit,1.8.9,42.009192
uhabit,1.8.9,42.009192
uhabit,2.0.0,45.590544
uhabit,2.0.0,44.351712
uhabit,2.0.0,44.653752
uhabit,2.0.1,42.790032
uhabit,2.0.1,43.570872
uhabit,2.0.1,43.570872
uhabit,2.0.2,43.248564
uhabit,2.0.2,43.414704
uhabit,2.0.2,43.560828
uhabit,2.0.3,43.570872
uhabit,2.0.3,43.570872
uhabit,2.0.3,43.248564
uhabit,2.1.0,44.039376
uhabit,2.1.0,43.71696
uhabit,2.1.0,44.185356
uhabit,2.1.1,43.70688
uhabit,2.1.1,43.560828
uhabit,2.1.1,43.71696
